frame_id,time_sec,track_id,class_id,class_name,confidence,x1,y1,x2,y2,cx,cy,foot_x,foot_y
2,0.2,17,2,car,0.3853069,461.55457,286.01904,507.86288,322.18817,484.70874,304.1036,484.70874,322.18817
2,0.2,18,2,car,0.33563754,493.04248,237.14351,539.79315,290.83673,516.41785,263.9901,516.41785,290.83673
2,0.2,19,2,car,0.37528816,759.8325,230.1034,799.0365,267.89752,779.4345,249.00046,779.4345,267.89752
2,0.2,20,0,person,0.26386115,290.9833,336.13477,310.83267,371.51804,300.908,353.82642,300.908,371.51804
3,0.3,1,2,car,0.8768194,219.53644,631.00726,412.29068,712.51495,315.91357,671.7611,315.91357,712.51495
3,0.3,2,2,car,0.8524879,518.72766,528.8455,681.94824,608.4398,600.33795,568.6427,600.33795,608.4398
3,0.3,3,2,car,0.85363126,187.73395,527.6411,341.58463,594.4339,264.6593,561.0375,264.6593,594.4339
3,0.3,4,2,car,0.85415477,470.07318,451.91644,630.14636,536.1569,550.10974,494.03668,550.10974,536.1569
3,0.3,5,2,car,0.7874411,15.4539795,433.9881,140.79742,500.93112,78.1257,467.4596,78.1257,500.93112
3,0.3,6,2,car,0.8190575,17.396944,659.53503,110.2616,719.46924,63.82927,689.50214,63.82927,719.46924
3,0.3,7,2,car,0.6029082,735.9624,336.09494,791.1064,382.49487,763.5344,359.29492,763.5344,382.49487
3,0.3,8,2,car,0.6837344,792.8694,394.3405,879.35785,455.08624,836.11365,424.71338,836.11365,455.08624
3,0.3,9,2,car,0.5935675,802.173,321.6087,850.7888,369.13223,826.4809,345.37048,826.4809,369.13223
3,0.3,10,2,car,0.60590494,429.12897,318.6336,482.14957,372.40286,455.63928,345.51825,455.63928,372.40286
3,0.3,11,2,car,0.540086,361.5278,321.33966,414.62943,375.5411,388.0786,348.44037,388.0786,375.5411
3,0.3,12,2,car,0.5966804,396.0062,283.4234,452.32535,335.65942,424.16577,309.5414,424.16577,335.65942
3,0.3,14,2,car,0.44631013,445.41296,249.04079,479.49365,283.02243,462.4533,266.03162,462.4533,283.02243
3,0.3,17,2,car,0.38061467,461.2545,285.9355,508.21158,322.62424,484.73303,304.27985,484.73303,322.62424
3,0.3,18,2,car,0.33678728,493.19107,237.18256,539.82983,290.7636,516.51044,263.97308,516.51044,290.7636
3,0.3,19,2,car,0.46190298,759.2776,228.3235,798.2606,265.7547,778.7691,247.0391,778.7691,265.7547
3,0.3,20,0,person,0.26115397,291.02383,336.11032,310.85455,371.46014,300.9392,353.78522,300.9392,371.46014
3,0.3,21,2,car,0.49293163,445.41013,211.04329,483.91028,243.13042,464.66022,227.08685,464.66022,243.13042
3,0.3,16,2,car,0.39301482,736.0676,266.07376,772.5478,309.5846,754.30774,287.82916,754.30774,309.5846
4,0.4,1,2,car,0.87303334,231.72433,628.3568,427.27463,711.213,329.49948,669.7849,329.49948,711.213
4,0.4,2,2,car,0.85797846,526.96094,524.9012,690.78687,605.02466,608.8739,564.9629,608.8739,605.02466
4,0.4,3,2,car,0.87767476,200.03697,526.16034,352.82782,592.3763,276.4324,559.2683,276.4324,592.3763
4,0.4,4,2,car,0.83788943,476.09244,447.29678,638.85504,533.44275,557.47375,490.36975,557.47375,533.44275
4,0.4,5,2,car,0.7962761,6.015196,435.6094,132.40428,502.90695,69.20974,469.25818,69.20974,502.90695
4,0.4,6,2,car,0.8133274,22.272718,659.163,117.54677,719.2901,69.909744,689.22656,69.909744,719.2901
4,0.4,7,2,car,0.55578727,737.84424,334.6556,790.0768,378.77628,763.9605,356.71594,763.9605,378.77628
4,0.4,8,2,car,0.59643257,796.2499,391.7286,879.4636,450.60574,837.85675,421.16718,837.85675,450.60574
4,0.4,9,2,car,0.57423687,801.58527,318.94647,849.6106,365.8522,825.5979,342.39935,825.5979,365.8522
4,0.4,10,2,car,0.58457905,428.93893,318.32706,482.15482,372.30396,455.54688,345.3155,455.54688,372.30396
4,0.4,11,2,car,0.53969467,361.4119,321.38043,414.39716,375.5017,387.90454,348.44107,387.90454,375.5017
4,0.4,12,2,car,0.575026,396.1343,283.2621,452.48547,335.5979,424.30988,309.43,424.30988,335.5979
4,0.4,14,2,car,0.44905996,445.49454,249.08676,479.3197,282.79953,462.4071,265.94315,462.4071,282.79953
4,0.4,17,2,car,0.35367048,461.6141,286.05164,507.8504,322.1539,484.73224,304.10278,484.73224,322.1539
4,0.4,18,2,car,0.2901172,493.27176,237.2234,539.7666,290.64984,516.51917,263.9366,516.51917,290.64984
